Ano,DimUniversidade_idDimUniversidade,DimCurso_idDimCurso,DimArea_idDimArea,QuantidadeVagas,"Inscritos no 1.º ano, pela 1.ª vez, através de todos os regimes","Inscritos no 1.º ano, pela 1.ª vez, através do regime geral de acesso",Inscritos pela 1.ª vez através do regime geral de acesso,"Taxa de ocupação
[Inscritos pela 1.ª vez através do regime geral de acesso / Vagas]",Inscritos pela 1.ª vez através de todos os regimes,Distrito,Concelho
2021,170,9081,3,20,19,10,10.0,0.5,19.0,R. A. Açores,Ponta Delgada
2021,170,9147,4,50,71,46,46.0,0.92,71.0,R. A. Açores,Ponta Delgada
2021,170,9254,10,25,36,25,25.0,1,36.0,R. A. Açores,Ponta Delgada
2021,201,8509,2,35,44,35,35.0,1,44.0,Faro,FARO
2021,201,9204,2,38,50,39,39.0,1.0263157894736843,50.0,Faro,FARO
2021,201,9219,3,67,86,64,64.0,0.9552238805970149,87.0,Faro,FARO
2021,201,9817,2,25,29,24,24.0,0.96,29.0,Faro,FARO
2021,201,9821,1,38,39,35,35.0,0.9210526315789473,39.0,Faro,FARO
2021,201,9834,2,43,46,39,39.0,0.9069767441860465,46.0,Faro,FARO
2021,203,8258,7,20,26,19,19.0,0.95,26.0,Faro,FARO
2021,203,9003,8,20,19,16,16.0,0.8,20.0,Faro,FARO
2021,203,9011,5,54,58,50,50.0,0.9259259259259259,59.0,Faro,FARO
2021,203,9013,5,78,87,72,72.0,0.9230769230769231,87.0,Faro,FARO
2021,203,9015,5,27,26,25,25.0,0.9259259259259259,26.0,Faro,FARO
2021,203,9016,7,26,32,24,24.0,0.9230769230769231,32.0,Faro,FARO
2021,203,9119,7,102,87,65,65.0,0.6372549019607843,88.0,Faro,FARO
2021,203,9210,5,34,26,22,22.0,0.6470588235294118,27.0,Faro,FARO
2021,203,9494,9,55,59,54,54.0,0.9818181818181818,63.0,Faro,FARO
2021,203,9540,7,20,14,12,12.0,0.6,14.0,Faro,FARO
2021,203,L123,7,29,33,27,27.0,0.9310344827586207,33.0,Faro,FARO
2021,204,9081,3,48,51,39,39.0,0.8125,51.0,Faro,FARO
2021,204,9152,4,74,90,72,72.0,0.972972972972973,90.0,Faro,FARO
2021,204,9240,3,40,45,34,34.0,0.85,45.0,Faro,FARO
2021,206,9351,5,52,64,52,52.0,1,65.0,Faro,Faro
2021,300,9002,4,62,79,60,60.0,0.967741935483871,80.0,Aveiro,AVEIRO
2021,300,9011,5,104,115,101,101.0,0.9711538461538461,126.0,Aveiro,AVEIRO
2021,300,9012,5,24,24,22,22.0,0.9166666666666666,26.0,Aveiro,AVEIRO
2021,300,9015,5,61,65,60,60.0,0.9836065573770492,66.0,Aveiro,AVEIRO
2021,300,9016,7,59,66,57,57.0,0.9661016949152542,68.0,Aveiro,AVEIRO
2021,300,9041,5,33,36,31,31.0,0.9393939393939394,37.0,Aveiro,AVEIRO
2021,300,9069,2,57,63,56,57.0,1,64.0,Aveiro,AVEIRO
2021,300,9081,3,51,58,47,47.0,0.9215686274509803,61.0,Aveiro,AVEIRO
2021,300,9089,7,30,34,29,29.0,0.9666666666666667,62.0,Aveiro,AVEIRO
2021,300,9096,7,34,32,32,32.0,0.9411764705882353,129.0,Aveiro,AVEIRO
2021,300,9099,7,26,18,14,14.0,0.5384615384615384,41.0,Aveiro,AVEIRO
2021,300,9104,7,82,85,82,82.0,1,191.0,Aveiro,AVEIRO
2021,300,9113,5,45,45,43,44.0,0.9777777777777777,101.0,Aveiro,AVEIRO
2021,300,9119,7,69,82,68,69.0,1,85.0,Aveiro,AVEIRO
2021,300,9123,7,112,109,106,110.0,0.9821428571428571,234.0,Aveiro,AVEIRO
2021,300,9125,7,46,49,44,45.0,0.9782608695652174,145.0,Aveiro,AVEIRO
2021,300,9141,5,21,21,21,21.0,1,23.0,Aveiro,AVEIRO
2021,300,9146,5,20,20,18,18.0,0.9,22.0,Aveiro,AVEIRO
2021,300,9147,4,45,56,44,45.0,1,61.0,Aveiro,AVEIRO
2021,300,9194,2,33,32,28,31.0,0.9393939393939394,35.0,Aveiro,AVEIRO
2021,300,9196,2,75,92,72,73.0,0.9733333333333334,99.0,Aveiro,AVEIRO
2021,300,9204,2,37,42,35,35.0,0.9459459459459459,43.0,Aveiro,AVEIRO
2021,300,9209,5,38,39,37,37.0,0.9736842105263158,40.0,Aveiro,AVEIRO
2021,300,9212,5,20,21,20,20.0,1,22.0,Aveiro,AVEIRO
2021,300,9214,2,54,56,49,49.0,0.9074074074074074,59.0,Aveiro,AVEIRO
2021,300,9215,2,74,90,72,72.0,0.972972972972973,91.0,Aveiro,AVEIRO
2021,300,9219,3,33,48,32,32.0,0.9696969696969697,49.0,Aveiro,AVEIRO
